"","carat","cut","color","clarity","price"
"1271",0.52,"Ideal","D","VS2",1679
"1272",0.32,"Ideal","G","VS1",645
"1273",0.92,"Ideal","G","SI2",4406
"1274",0.41,"Ideal","D","VVS1",1582
"1275",1.21,"Very Good","H","SI1",5826
"1276",0.27,"Ideal","H","VS2",451
"1277",1.11,"Premium","F","VS1",7310
"1278",1.65,"Premium","F","SI2",9693
"1279",0.5,"Ideal","F","VS1",1601
"1280",1.05,"Ideal","G","VS2",7070
"1281",1.09,"Premium","H","VS2",5677
"1282",0.3,"Premium","D","VS1",661
"1283",0.5,"Very Good","J","VS2",1023
"1284",1.51,"Premium","E","SI1",12236
"1285",1.56,"Ideal","J","VS2",7809
"1286",1.12,"Very Good","E","SI1",5447
"1287",0.41,"Ideal","F","SI1",705
"1288",1.1,"Very Good","I","SI2",4083
"1289",2.01,"Premium","J","SI2",12407
"1290",1.01,"Very Good","G","VS2",5759
"1291",0.41,"Very Good","F","VS2",863
"1292",2.45,"Ideal","F","SI2",16589
"1293",1.2,"Ideal","H","VS1",7869
"1294",0.38,"Premium","D","VVS2",1257
"1295",0.59,"Ideal","G","SI1",1782
"1296",0.72,"Very Good","E","VS2",2667
"1297",0.31,"Ideal","G","VVS2",677
"1298",1.02,"Very Good","I","SI1",3927
"1299",0.59,"Very Good","F","VS2",1723
"1300",1,"Premium","E","VS1",7452
"1301",0.3,"Premium","G","IF",956
"1302",0.97,"Ideal","F","I1",2856
"1303",1.04,"Premium","J","SI1",4036
"1304",0.35,"Ideal","F","VS2",906
"1305",1.54,"Ideal","I","VS2",7848
"1306",1.1,"Ideal","H","SI1",5278
"1307",0.71,"Ideal","I","IF",2925
"1308",0.34,"Good","F","SI1",581
"1309",0.34,"Ideal","D","SI1",803
"1310",1.23,"Ideal","G","SI1",6509
"1311",0.32,"Ideal","I","VVS1",575
"1312",1.03,"Ideal","F","VS1",7429
"1313",0.4,"Good","I","IF",945
"1314",0.31,"Ideal","G","VVS1",710
"1315",0.47,"Ideal","I","VS2",884
"1316",0.54,"Good","E","VS2",1637
"1317",1.02,"Premium","G","VS1",6505
"1318",0.33,"Premium","G","VS1",854
"1319",0.31,"Very Good","F","SI1",663
"1320",0.98,"Very Good","H","SI2",3731
"1321",1.71,"Ideal","H","VS2",9618
"1322",0.4,"Good","E","SI2",798
"1323",0.71,"Good","F","SI1",2300
"1324",1.21,"Ideal","J","VS2",5653
"1325",0.51,"Very Good","G","VVS2",1750
"1326",1.23,"Very Good","F","VVS2",10835
"1327",0.31,"Ideal","F","VS2",749
"1328",0.53,"Ideal","G","VVS2",1948
"1329",0.41,"Ideal","D","SI2",876
"1330",1.61,"Premium","I","SI1",8978
"1331",1.05,"Premium","D","SI1",5821
"1332",0.91,"Fair","H","SI2",2763
"1333",0.8,"Very Good","H","SI1",2670
"1334",0.39,"Premium","G","VS1",855
"1335",0.33,"Premium","G","VVS1",1114
"1336",0.53,"Ideal","D","SI1",1683
"1337",0.4,"Ideal","G","SI1",701
"1338",0.56,"Ideal","D","VS1",2057
"1339",0.31,"Premium","E","VS2",680
"1340",1.01,"Very Good","F","SI2",4484
"1341",0.26,"Very Good","E","VVS2",597
"1342",0.4,"Very Good","E","SI1",837
"1343",1.24,"Very Good","I","SI1",5584
"1344",0.3,"Ideal","E","VVS2",731
"1345",1.13,"Very Good","D","SI2",5408
"1346",1.5,"Premium","I","SI1",7955
"1347",0.32,"Good","D","SI2",612
"1348",2.4,"Ideal","H","SI2",18374
"1349",0.59,"Very Good","G","VS2",1664
"1350",1.24,"Ideal","E","VS2",9111
"1351",0.58,"Premium","J","VS2",1233
"1352",0.33,"Ideal","D","VS2",1002
"1353",0.33,"Very Good","F","VVS1",859
"1354",1.03,"Very Good","F","SI2",4414
"1355",0.73,"Fair","H","I1",1104
"1356",0.52,"Ideal","F","VS1",1588
"1357",1.2,"Premium","F","VS2",7865
"1358",0.51,"Ideal","F","VS2",1687
"1359",0.9,"Fair","H","SI2",2823
"1360",0.23,"Ideal","E","SI2",326
"1361",0.44,"Premium","H","SI2",759
"1362",1.51,"Premium","G","SI1",10235
"1363",0.31,"Ideal","G","VS2",574
"1364",0.9,"Fair","D","SI2",3205
"1365",0.58,"Ideal","D","VVS1",3206
"1366",0.4,"Good","D","VVS2",1080
"1367",1.51,"Ideal","I","SI1",8400
"1368",1.53,"Ideal","H","SI2",7617
"1369",1.61,"Ideal","E","SI2",11220
"1370",0.31,"Good","D","SI2",462
"1371",0.39,"Premium","E","VS2",951
"1372",0.53,"Ideal","G","VVS2",2051
"1373",1.13,"Ideal","G","SI2",4712
"1374",0.3,"Ideal","H","VVS2",590
"1375",0.5,"Very Good","D","SI1",1318
"1376",0.38,"Very Good","F","SI1",660
"1377",0.41,"Very Good","E","SI1",705
"1378",1.1,"Very Good","J","SI2",4217
"1379",1,"Premium","I","SI2",3780
"1380",2.11,"Premium","G","SI2",13069
"1381",0.41,"Ideal","E","VS1",990
"1382",1.38,"Ideal","J","SI2",5765
"1383",0.7,"Ideal","G","VVS1",3763
"1384",1.16,"Premium","J","SI1",4326
"1385",0.57,"Ideal","E","VS2",1728
"1386",0.7,"Fair","G","I1",956
"1387",0.85,"Fair","H","I1",1324
"1388",0.34,"Ideal","E","VS1",881
"1389",1.1,"Very Good","H","VVS2",6497
"1390",1.06,"Premium","D","SI1",5983
"1391",0.9,"Good","F","SI2",3519
"1392",1.03,"Good","F","VS2",6543
"1393",0.34,"Ideal","D","VS2",805
"1394",1.08,"Very Good","F","VS2",6319
"1395",1.01,"Premium","F","SI1",4989
"1396",0.25,"Very Good","F","IF",548
"1397",0.8,"Premium","G","VS2",3002
"1398",1.08,"Very Good","G","SI1",4906
"1399",0.4,"Ideal","G","SI1",855
"1400",1.09,"Ideal","I","SI2",4315
"1401",0.43,"Premium","E","SI2",882
"1402",0.4,"Very Good","D","VS1",967
"1403",2.01,"Very Good","H","SI2",15773
"1404",1.27,"Very Good","H","VS2",7715
"1405",0.38,"Premium","I","VS1",700
"1406",2,"Good","H","SI1",17600
"1407",0.52,"Very Good","G","SI1",1338
"1408",2.03,"Very Good","E","SI2",16412
"1409",2.05,"Very Good","H","SI1",17811
"1410",0.33,"Premium","G","VVS1",868
"1411",1.01,"Very Good","E","SI1",5411
"1412",0.31,"Ideal","I","SI1",537
"1413",1.07,"Premium","F","SI1",4597
"1414",1.57,"Premium","G","SI1",10914
"1415",0.6,"Premium","F","VS1",2142
"1416",0.5,"Premium","E","VS2",1654
"1417",0.77,"Premium","J","SI1",1909
"1418",0.38,"Premium","E","VS2",1112
"1419",0.76,"Ideal","D","VS1",4377
"1420",0.92,"Good","D","SI2",3916
"1421",0.71,"Ideal","D","SI2",2262
"1422",1.7,"Very Good","E","VS2",18176
"1423",0.74,"Ideal","I","VS1",2609
"1424",0.49,"Very Good","F","SI1",985
"1425",0.34,"Premium","G","VVS1",1071
"1426",0.61,"Very Good","F","VS2",1971
"1427",0.93,"Very Good","G","SI1",3933
"1428",0.54,"Premium","H","VS1",1637
"1429",0.31,"Premium","E","IF",1060
"1430",0.52,"Premium","E","VS2",1743
"1431",0.31,"Ideal","D","VS2",942
"1432",0.32,"Ideal","G","VS1",645
"1433",0.78,"Ideal","E","SI2",3053
"1434",0.32,"Ideal","G","VVS2",730
"1435",0.42,"Premium","E","VS1",1181
"1436",1.11,"Ideal","D","VVS2",12016
"1437",0.38,"Ideal","I","SI1",581
"1438",1.02,"Ideal","H","SI1",5079
"1439",2.33,"Very Good","H","SI2",13500
"1440",1.01,"Premium","F","SI2",3733
"1441",0.3,"Very Good","H","VS1",526
"1442",0.9,"Very Good","G","VS2",4269
"1443",0.34,"Ideal","E","VVS1",1030
"1444",1.2,"Good","H","SI1",6182
"1445",0.9,"Good","D","SI1",3689
"1446",1.01,"Premium","G","VS2",5620
"1447",0.31,"Ideal","G","SI1",493
"1448",0.91,"Premium","F","SI2",3096
"1449",0.59,"Ideal","E","VVS2",2761
"1450",0.75,"Ideal","E","SI1",2831
"1451",0.53,"Very Good","G","SI1",1161
"1452",0.41,"Premium","G","SI1",719
"1453",1.15,"Premium","E","SI2",4328
"1454",0.41,"Good","G","SI2",570
"1455",0.4,"Ideal","G","VVS1",1123
"1456",1.06,"Premium","G","VS2",6325
"1457",0.52,"Ideal","F","SI1",1624
"1458",0.72,"Very Good","E","VS2",3270
"1459",3,"Good","E","I1",11548
"1460",0.74,"Ideal","D","VVS2",5841
"1461",0.36,"Premium","E","SI2",648
"1462",0.4,"Very Good","J","SI1",526
"1463",1.24,"Ideal","G","SI1",4916
"1464",0.7,"Premium","E","VS1",2800
"1465",0.75,"Ideal","J","VS2",2025
"1466",1.51,"Fair","H","SI2",5919
"1467",1.01,"Good","D","SI2",3671
"1468",1.01,"Premium","G","VS1",5632
"1469",0.25,"Very Good","G","VVS1",525
"1470",0.52,"Very Good","G","VS1",1554
"1471",1.02,"Very Good","F","SI2",4162
"1472",0.43,"Ideal","H","SI1",783
"1473",2.57,"Premium","J","SI1",18485
"1474",1.1,"Ideal","I","VS2",4962
"1475",1.73,"Premium","I","VS1",13250
"1476",1.26,"Fair","I","SI2",4551
"1477",0.29,"Ideal","H","VVS1",607
"1478",0.27,"Very Good","H","VVS2",486
"1479",0.34,"Ideal","D","VS2",805
"1480",0.68,"Good","F","SI1",2074
"1481",1.45,"Premium","F","VS2",11650
"1482",0.71,"Very Good","E","VS2",2795
"1483",0.3,"Good","F","SI1",500
"1484",1.26,"Ideal","J","SI2",4860
"1485",2.02,"Ideal","I","SI1",15785
"1486",0.35,"Ideal","H","IF",1017
"1487",1.2,"Very Good","I","VS2",5884
"1488",1.35,"Very Good","G","VS2",9302
"1489",0.4,"Premium","F","VS2",1080
"1490",0.71,"Very Good","H","SI1",2076
"1491",0.32,"Very Good","I","SI1",554
"1492",0.91,"Very Good","H","SI1",3710
"1493",1.14,"Ideal","H","SI1",7079
"1494",0.58,"Ideal","D","VVS1",3741
"1495",1.01,"Fair","F","VS2",6271
"1496",1.5,"Ideal","F","VS2",14199
"1497",0.52,"Ideal","E","SI2",1299
"1498",1.34,"Ideal","I","VS1",7016
"1499",0.7,"Very Good","G","SI1",2304
"1500",0.31,"Ideal","G","IF",891
"1501",0.96,"Very Good","E","SI2",4186
"1502",0.6,"Ideal","E","VS2",2079
"1503",0.53,"Premium","H","VS2",1428
"1504",2.13,"Premium","I","SI1",13370
"1505",0.38,"Ideal","F","VVS1",1070
"1506",1.51,"Very Good","I","SI1",8073
"1507",0.7,"Ideal","G","SI1",2352
"1508",0.7,"Ideal","H","VS1",3185
"1509",0.52,"Ideal","H","VVS1",1748
"1510",0.72,"Premium","F","SI1",2777
"1511",0.71,"Good","F","SI1",2396
"1512",0.33,"Premium","G","VS1",797
"1513",0.41,"Good","G","SI2",784
"1514",0.5,"Fair","F","SI2",1031
"1515",0.61,"Ideal","F","SI2",1588
"1516",1.07,"Premium","E","VS1",7909
"1517",1,"Very Good","E","SI1",5113
"1518",0.75,"Very Good","E","SI2",2719
"1519",1.54,"Ideal","G","VS2",11487
"1520",0.53,"Very Good","E","VVS2",2043
"1521",1.75,"Premium","I","SI1",7644
"1522",0.9,"Ideal","D","SI1",4304
"1523",0.3,"Ideal","F","VVS1",1041
"1524",1.09,"Ideal","F","SI2",3882
"1525",1.52,"Good","J","SI1",7022
"1526",0.63,"Ideal","I","VVS1",2064
"1527",0.36,"Ideal","E","SI1",810
"1528",0.7,"Very Good","F","SI1",2264
"1529",1.53,"Premium","G","VS2",12228
"1530",2.01,"Premium","H","SI1",17849
"1531",1.51,"Premium","G","VVS2",15303
"1532",0.58,"Ideal","E","VS2",1761
"1533",0.3,"Ideal","F","VVS1",814
"1534",0.9,"Very Good","D","SI1",4514
"1535",0.39,"Very Good","G","SI1",703
"1536",1.21,"Good","E","SI1",6708
"1537",0.41,"Very Good","E","SI2",638
"1538",0.55,"Premium","D","VS2",1928
"1539",0.7,"Premium","F","SI1",2441
"1540",0.9,"Premium","E","VS1",5116
"1541",0.39,"Ideal","D","VS1",988
"1542",0.31,"Premium","H","SI1",558
"1543",1.01,"Premium","G","I1",2364
"1544",0.33,"Premium","G","VS1",666
"1545",0.49,"Premium","F","SI2",980
"1546",0.3,"Ideal","F","VS1",844
"1547",1.2,"Premium","G","VS2",9677
"1548",0.4,"Very Good","D","VS1",967
"1549",0.71,"Premium","I","VVS1",2572
"1550",0.5,"Good","F","VS2",1615
"1551",0.39,"Ideal","G","IF",1189
"1552",1.51,"Good","J","VS2",7476
"1553",1.21,"Ideal","D","VVS2",12657
"1554",0.32,"Ideal","F","IF",1204
"1555",0.3,"Premium","G","VS2",630
"1556",0.3,"Very Good","F","VS1",603
"1557",0.52,"Ideal","J","IF",1385
"1558",0.4,"Ideal","E","VS1",1005
"1559",1.02,"Premium","H","SI1",4819
"1560",0.61,"Premium","G","SI1",1255
"1561",0.4,"Ideal","E","SI1",673
"1562",0.74,"Very Good","E","SI2",2574
"1563",0.76,"Premium","F","SI1",2443
"1564",0.31,"Ideal","E","VS2",872
"1565",0.36,"Ideal","F","SI1",551
"1566",1.19,"Ideal","G","SI1",6335
"1567",0.64,"Ideal","F","VS2",2074
"1568",0.35,"Ideal","F","VS2",906
"1569",0.3,"Good","G","VS2",515
"1570",0.4,"Ideal","G","VS1",1104
"1571",0.52,"Very Good","E","VVS2",2254
"1572",0.7,"Premium","F","SI1",2230
"1573",1,"Good","F","VS2",6209
"1574",0.7,"Very Good","F","SI2",1792
"1575",0.58,"Premium","E","VS1",2105
"1576",0.56,"Ideal","D","VS2",2066
"1577",0.5,"Ideal","D","VS2",1653
"1578",1.32,"Premium","H","VVS2",6520
"1579",2.72,"Fair","J","I1",6870
"1580",0.31,"Ideal","E","VVS2",791
"1581",0.59,"Very Good","E","VS2",2068
"1582",1.67,"Ideal","I","VS2",12406
"1583",0.31,"Ideal","H","VS1",544
"1584",0.35,"Premium","F","SI1",583
"1585",0.34,"Premium","I","VS1",689
"1586",0.76,"Very Good","H","VS2",2517
"1587",1.01,"Very Good","F","VS2",6288
"1588",0.33,"Ideal","H","VVS1",730
"1589",0.31,"Good","E","IF",912
"1590",0.5,"Very Good","E","VS2",1407
"1591",0.5,"Good","G","SI2",1009
"1592",1.03,"Very Good","D","SI1",5498
"1593",1.41,"Premium","E","VS2",11644
"1594",0.56,"Very Good","F","SI1",1679
"1595",1.41,"Premium","H","VS2",8686
"1596",0.6,"Ideal","H","VS2",1442
"1597",1,"Fair","G","I1",2808
"1598",0.32,"Premium","I","VVS1",756
"1599",0.32,"Premium","G","IF",891
"1600",0.5,"Good","G","VS2",1410
"1601",1.01,"Ideal","F","VS2",6416
"1602",0.71,"Premium","H","VS2",2531
"1603",0.7,"Very Good","D","SI1",2656
"1604",0.32,"Premium","H","VS2",648
"1605",0.31,"Ideal","I","VS2",558
"1606",0.34,"Ideal","F","VS2",880
"1607",1.25,"Premium","G","VS2",8064
"1608",1.52,"Premium","E","VS1",16628
"1609",0.31,"Premium","F","VS1",872
"1610",1.06,"Very Good","H","VS2",5480
"1611",0.39,"Premium","D","VS2",958
"1612",1.52,"Premium","H","SI1",9527
"1613",0.9,"Premium","G","VS2",4309
"1614",0.36,"Ideal","G","IF",1006
"1615",0.41,"Premium","G","VS2",827
"1616",1.23,"Ideal","J","VS2",6015
"1617",1.05,"Fair","J","SI2",2789
"1618",0.53,"Ideal","G","VVS2",1865
"1619",1.72,"Premium","H","VS2",13609
"1620",0.7,"Premium","E","SI1",2444
"1621",0.71,"Ideal","D","VS2",3321
"1622",1,"Ideal","G","VS2",6235
"1623",0.71,"Very Good","D","SI2",2279
"1624",0.41,"Premium","I","VVS2",1061
"1625",0.9,"Very Good","I","SI1",3220
"1626",1.28,"Premium","I","SI1",6164
"1627",1.09,"Premium","G","VS1",6951
"1628",1.5,"Premium","E","VVS2",17667
"1629",0.9,"Good","D","SI2",3473
"1630",0.33,"Very Good","E","SI1",579
"1631",0.44,"Ideal","G","VVS1",1160
"1632",1.51,"Very Good","E","VS2",13757
"1633",1.62,"Very Good","J","SI2",7072
"1634",1.02,"Very Good","F","VS2",6632
"1635",1,"Fair","I","VS1",3763
"1636",0.34,"Very Good","F","SI2",447
"1637",0.45,"Fair","F","VS2",923
"1638",0.3,"Premium","F","VS1",844
"1639",0.35,"Ideal","H","IF",859
"1640",0.7,"Good","E","VS1",3063
"1641",0.66,"Ideal","D","SI1",2079
"1642",1.1,"Very Good","H","SI1",4414
"1643",0.42,"Very Good","F","SI1",788
"1644",1.7,"Premium","G","SI2",11043
"1645",0.54,"Ideal","G","VS1",1847
"1646",2.01,"Premium","E","SI2",14502
"1647",1.5,"Fair","H","SI2",7187
"1648",0.59,"Premium","E","SI1",1789
"1649",0.72,"Very Good","G","SI2",2246
"1650",2.05,"Premium","H","VS2",18318
"1651",1.55,"Premium","I","VS1",10416
"1652",1.01,"Good","F","SI2",4221
"1653",0.53,"Ideal","F","VS2",1753
"1654",0.44,"Very Good","F","SI2",711
"1655",0.31,"Ideal","F","IF",914
"1656",0.32,"Ideal","I","VVS2",720
"1657",0.97,"Ideal","H","SI2",3694
"1658",0.31,"Ideal","H","VS1",698
"1659",1.17,"Premium","G","VS1",7564
"1660",0.4,"Ideal","H","VVS1",1017
"1661",0.25,"Premium","G","SI2",1186
"1662",0.91,"Fair","J","VS2",2854
"1663",0.3,"Very Good","E","VS1",755
"1664",0.9,"Premium","F","SI1",3992
"1665",1.01,"Ideal","E","VVS2",9254
"1666",0.34,"Premium","G","SI1",650
"1667",1.2,"Good","G","VS2",7603
"1668",0.42,"Ideal","E","VS1",1177
"1669",0.72,"Premium","I","VS2",2216
"1670",0.5,"Good","E","SI1",1316
"1671",0.35,"Ideal","I","VVS2",788
"1672",0.52,"Premium","I","VVS1",1619
"1673",0.7,"Good","G","SI1",2016
"1674",0.38,"Premium","G","IF",1148
"1675",0.51,"Ideal","D","SI1",1431
"1676",0.71,"Ideal","D","VS1",3576
"1677",1.12,"Ideal","F","VS2",8251
"1678",1.02,"Good","G","SI1",4964
"1679",2.04,"Premium","F","SI2",18231
"1680",0.33,"Premium","G","VVS2",965
"1681",0.45,"Ideal","I","VS2",748
"1682",0.23,"Very Good","F","VVS2",530
"1683",0.7,"Very Good","E","SI1",2239
"1684",0.92,"Ideal","E","SI1",4183
"1685",2,"Premium","I","VS2",16068
"1686",0.38,"Ideal","D","VS2",998
"1687",0.38,"Very Good","F","VS1",988
"1688",1.01,"Premium","F","SI2",4497
"1689",0.7,"Premium","E","SI1",2396
"1690",0.32,"Ideal","D","VS2",808
"1691",1.51,"Premium","D","SI2",8311
"1692",1.1,"Premium","I","SI2",3696
"1693",0.71,"Ideal","H","SI1",2313
"1694",0.41,"Premium","E","VS1",1153
"1695",0.31,"Premium","E","VS1",734
"1696",1.23,"Ideal","D","VVS1",16253
"1697",0.7,"Good","H","VVS1",2877
"1698",0.55,"Good","J","VS2",1034
"1699",0.43,"Premium","G","VS1",1008
"1700",0.83,"Very Good","E","SI1",3365
"1701",0.34,"Premium","H","VS1",765
"1702",1.27,"Ideal","J","VS1",5885
"1703",0.7,"Premium","F","SI2",2184
"1704",1.73,"Ideal","I","VS1",13250
"1705",0.32,"Very Good","D","SI1",589
"1706",1.61,"Ideal","E","SI2",11090
"1707",0.33,"Very Good","G","VS2",579
"1708",1.5,"Premium","G","VS1",13720
"1709",0.57,"Ideal","E","VS2",1728
"1710",1.54,"Premium","G","SI1",11107
"1711",0.73,"Very Good","E","VS1",3492
"1712",2.14,"Ideal","I","SI1",17213
"1713",0.55,"Ideal","F","VS1",1857
"1714",2,"Fair","I","SI2",9610
"1715",0.51,"Premium","D","SI1",1574
"1716",0.32,"Premium","F","SI1",684
"1717",0.33,"Good","D","SI1",567
"1718",0.42,"Premium","F","VVS2",1142
"1719",0.93,"Very Good","F","SI2",3420
"1720",0.41,"Very Good","I","VVS1",845
"1721",0.31,"Ideal","G","VS2",698
"1722",1.01,"Premium","H","VS2",4559
"1723",0.36,"Ideal","J","SI1",597
"1724",1.4,"Premium","G","SI1",8511
"1725",1.01,"Premium","D","SI1",5210
"1726",2.01,"Ideal","H","VS1",17838
"1727",0.9,"Very Good","D","SI1",4447
"1728",1.02,"Premium","H","SI1",4558
"1729",0.41,"Ideal","F","VS2",863
"1730",0.5,"Good","E","SI1",1090
"1731",0.3,"Good","H","VVS1",684
"1732",0.38,"Ideal","F","VS1",998
"1733",0.51,"Ideal","D","SI1",1574
"1734",1.29,"Premium","H","SI1",6588
"1735",0.7,"Premium","D","VS2",2773
"1736",0.31,"Premium","F","VS2",625
"1737",0.56,"Ideal","G","VS2",1698
"1738",0.34,"Ideal","E","VS2",702
"1739",2.19,"Ideal","I","SI2",16147
"1740",0.72,"Ideal","D","VS2",3543
"1741",0.7,"Ideal","J","VVS1",1945
"1742",0.76,"Ideal","G","VS2",2782
"1743",0.23,"Very Good","E","VVS1",478
"1744",0.26,"Very Good","F","VS2",453
"1745",0.52,"Very Good","E","VS2",1653
"1746",0.24,"Ideal","F","VVS1",678
"1747",1,"Very Good","H","SI1",4389
"1748",1,"Very Good","D","VVS2",9740
"1749",0.3,"Very Good","I","SI1",506
"1750",1,"Very Good","E","SI2",4392
"1751",0.3,"Ideal","F","VS2",776
"1752",1.52,"Ideal","E","VS2",15239
"1753",0.36,"Very Good","E","VVS2",742
"1754",1.01,"Good","F","SI1",4199
"1755",1.07,"Premium","E","SI2",4943
"1756",0.3,"Premium","F","VS2",605
"1757",0.34,"Premium","H","VS2",537
"1758",0.55,"Ideal","H","VVS2",1668
"1759",0.34,"Premium","G","SI2",574
"1760",1.83,"Premium","I","VS1",13711
"1761",1.3,"Premium","F","VVS1",14068
"1762",0.32,"Premium","H","VS1",720
"1763",0.3,"Premium","F","VVS2",737
"1764",1.14,"Ideal","G","VS1",8346
"1765",0.7,"Ideal","H","VVS1",3524
"1766",1.06,"Ideal","F","I1",3609
"1767",1.01,"Very Good","G","SI2",3507
"1768",0.77,"Very Good","J","SI1",1807
"1769",0.48,"Premium","H","VS1",1270
"1770",0.7,"Premium","E","SI1",2576
"1771",0.42,"Premium","H","VS1",847
"1772",0.92,"Good","F","SI1",4326
"1773",0.42,"Ideal","G","VVS1",1235
"1774",0.98,"Very Good","H","SI2",4479
"1775",1.2,"Very Good","J","SI1",4891
"1776",0.56,"Very Good","D","VVS2",2612
"1777",0.33,"Good","F","VS2",643
"1778",0.29,"Premium","E","SI1",548
"1779",1.27,"Ideal","G","VS2",9489
"1780",0.41,"Premium","E","VS1",1079
"1781",1.53,"Very Good","J","SI1",7730
"1782",0.41,"Very Good","F","SI2",647
"1783",0.9,"Ideal","G","SI2",4077
"1784",1.01,"Premium","G","VS2",6027
"1785",0.37,"Premium","G","VVS2",787
"1786",0.78,"Ideal","F","SI2",2386
"1787",0.7,"Very Good","F","VS2",2437
"1788",0.7,"Premium","F","SI1",2184
"1789",0.3,"Ideal","G","IF",895
"1790",0.84,"Premium","F","SI2",2863
"1791",0.63,"Ideal","D","SI1",2041
"1792",0.33,"Ideal","G","VVS1",838
"1793",0.52,"Ideal","D","VS1",2296
"1794",0.7,"Good","F","VVS2",3445
"1795",1.04,"Very Good","E","SI1",5662
"1796",0.4,"Ideal","G","VVS2",931
"1797",2,"Ideal","H","SI1",18604
"1798",0.56,"Premium","G","SI2",1208
"1799",0.5,"Good","D","VS1",1657
"1800",1.01,"Very Good","I","SI1",4475
"1801",1.23,"Good","J","VS2",4727
"1802",0.61,"Ideal","E","VS1",3004
"1803",0.32,"Premium","E","VS2",702
"1804",0.32,"Ideal","G","VS2",672
"1805",0.42,"Ideal","F","SI1",838
"1806",0.83,"Ideal","D","SI1",4159
"1807",1.5,"Good","E","SI2",6300
"1808",1.01,"Very Good","F","SI2",4416
"1809",1.01,"Premium","H","SI2",2828
"1810",0.9,"Ideal","H","VS1",5907
"1811",0.5,"Ideal","E","VS2",1629
"1812",0.75,"Very Good","E","VS2",3365
"1813",0.3,"Ideal","G","IF",863
"1814",1.13,"Very Good","G","SI1",5280
"1815",1.01,"Very Good","F","VS2",7135
"1816",0.31,"Ideal","I","IF",635
"1817",0.75,"Premium","D","SI1",3024
"1818",0.34,"Ideal","F","VVS2",773
"1819",1,"Premium","G","VS2",6209
"1820",0.28,"Very Good","E","VVS2",707
"1821",0.34,"Ideal","F","VVS2",1003
"1822",0.33,"Ideal","F","IF",1240
"1823",0.36,"Premium","E","SI1",631
"1824",0.31,"Good","H","VVS1",786
"1825",0.34,"Premium","D","SI1",803
"1826",0.71,"Good","F","VS1",2559
"1827",0.9,"Very Good","I","SI1",3220
"1828",0.53,"Very Good","D","SI1",1724
"1829",0.41,"Premium","G","VS1",899
"1830",0.55,"Ideal","H","VVS1",1741
"1831",1.1,"Ideal","G","SI2",5407
"1832",0.83,"Ideal","F","VS1",4617
"1833",0.37,"Fair","D","IF",1440
"1834",0.52,"Ideal","E","VS1",1726
"1835",0.35,"Ideal","F","SI1",748
"1836",0.7,"Very Good","G","VS1",2748
"1837",0.31,"Ideal","D","SI1",732
"1838",0.34,"Premium","F","VS1",905
"1839",0.62,"Premium","G","SI1",1572
"1840",0.72,"Premium","G","SI1",2352
"1841",0.92,"Very Good","J","SI1",3170
"1842",0.41,"Ideal","D","SI1",791
"1843",2.23,"Premium","J","SI1",13069
"1844",0.42,"Ideal","E","VS1",1014
"1845",0.4,"Ideal","G","VVS1",1097
"1846",0.58,"Ideal","E","VVS2",2694
"1847",1.21,"Very Good","G","SI2",5308
"1848",1.2,"Ideal","H","SI2",5610
"1849",0.61,"Very Good","D","VVS2",2763
"1850",1.02,"Premium","G","VS2",6301
"1851",0.41,"Ideal","G","SI2",605
"1852",1.01,"Ideal","F","VS1",7887
"1853",0.51,"Premium","F","VVS2",2093
"1854",0.9,"Very Good","E","VS2",4134
"1855",0.55,"Ideal","D","SI1",1819
"1856",0.58,"Very Good","F","SI1",1401
"1857",0.5,"Fair","G","I1",727
"1858",0.92,"Ideal","I","SI1",3610
"1859",0.62,"Good","D","SI2",1410
"1860",1.02,"Good","G","I1",2344
"1861",1.09,"Ideal","H","SI1",5219
"1862",0.32,"Very Good","E","VS2",702
"1863",0.9,"Very Good","G","SI2",3256
"1864",0.54,"Ideal","I","VS2",1259
"1865",1.01,"Ideal","G","VS2",6516
"1866",0.23,"Very Good","D","VVS2",530
"1867",1.35,"Fair","I","SI2",4423
"1868",0.56,"Fair","E","VS2",1737
"1869",0.76,"Very Good","I","VS1",2601
"1870",0.33,"Very Good","E","VS1",781
"1871",0.51,"Very Good","G","VS1",1560
"1872",0.41,"Ideal","E","SI1",969
"1873",0.56,"Ideal","F","VVS1",2510
"1874",0.31,"Ideal","E","VVS2",864
"1875",1.03,"Ideal","G","SI2",4557
"1876",1.51,"Premium","I","VVS2",10817
"1877",0.72,"Good","G","SI2",2333
"1878",1.25,"Very Good","H","SI2",5637
"1879",1.38,"Very Good","F","IF",17598
"1880",0.31,"Ideal","D","SI1",732
"1881",1.1,"Ideal","D","VVS2",10410
"1882",1.07,"Ideal","E","VVS2",10222
"1883",0.3,"Premium","D","SI2",574
"1884",0.56,"Ideal","D","SI1",1723
"1885",0.53,"Good","E","VVS2",2582
"1886",0.36,"Ideal","H","IF",912
"1887",2,"Premium","H","SI2",13134
"1888",1,"Premium","G","SI2",4170
"1889",0.42,"Ideal","D","VS2",1031
"1890",0.32,"Ideal","G","VVS1",1008
"1891",2.02,"Very Good","J","VS2",13564
"1892",0.72,"Very Good","F","VS1",3219
"1893",0.31,"Ideal","E","VVS1",865
"1894",0.56,"Premium","E","VVS2",2496
"1895",0.5,"Good","D","VS2",1589
"1896",1.25,"Very Good","E","VS1",10285
"1897",0.8,"Very Good","D","SI2",2708
"1898",1,"Premium","H","SI1",3915
